FIPS,State,County,Weighted_Mean_Score,F1_hardship,F2_geo_inacc,F3_urban_access,F4_alt_outlets,F5_retail_env
21189,Kentucky,Owsley County,0.84694178,3.542407087,-0.759632901,0.380455816,-0.050440069,1.121918968
48173,Texas,Glasscock County,0.838213495,-1.560911515,3.707990687,1.179520441,-0.849687213,1.714155074
29129,Missouri,Mercer County,0.8372968,-0.521162789,3.768133136,1.322457058,-0.913187895,0.53024449
46031,South Dakota,Corson County,0.83176445,2.613471151,1.117492847,0.36338583,-0.853035013,0.917507433
46107,South Dakota,Potter County,0.821376968,-1.389319523,1.11507319,2.164241813,-0.886367181,3.103256543
28025,Mississippi,Clay County,0.817838471,1.352495672,1.047872018,-0.579464238,2.698321879,-0.430032976
20179,Kansas,Sheridan County,0.808308381,-1.060382818,2.248412464,1.49158609,-0.099809049,1.461735217
27089,Minnesota,Marshall County,0.806944565,-1.095054392,1.740561227,1.601852393,-0.474983738,2.262347336
20101,Kansas,Lane County,0.804981978,-1.134284627,0.056109747,2.03308796,-0.848520143,3.918516952
41037,Oregon,Lake County,0.804817104,0.746806081,1.032871859,0.784232202,0.874749527,0.585425852
20183,Kansas,Smith County,0.796950454,-0.601608486,2.070984633,1.626238308,-0.129811162,1.018948978
20049,Kansas,Elk County,0.796481855,0.055469878,1.181837896,1.773710672,-0.907324221,1.878715052
4001,Arizona,Apache County,0.795112953,2.494020338,2.24002619,-0.40009007,-0.79813586,0.439744168
38005,North Dakota,Benson County,0.790387479,1.982651188,1.05220439,0.464697437,-0.836709439,1.289093821
23021,Maine,Piscataquis County,0.787975692,0.760112627,-0.700155584,0.601676398,2.644257318,0.633987703
6091,California,Sierra County,0.784210343,-0.186665863,2.970007433,1.246167454,-0.894938678,0.786481367
26097,Michigan,Mackinac County,0.783883229,-0.014195318,0.707954585,1.399205849,0.306235229,1.5202158
28135,Mississippi,Tallahatchie County,0.78070284,2.313606651,2.28761566,0.250904762,-0.867103536,-0.081509338
30045,Montana,Judith Basin County,0.777586322,-0.938239842,1.976248771,1.649155445,-0.876482205,2.07724944
55078,Wisconsin,Menominee County,0.775768435,2.272704168,0.818338608,0.445503927,-0.840020845,1.182316319
37095,North Carolina,Hyde County,0.774626233,1.66673044,2.225215227,0.799356679,-0.900177628,0.082006446
8057,Colorado,Jackson County,0.773509917,-0.342749384,0.25157502,1.715643373,-0.853959615,3.097040191
15005,Hawaii,Kalawao County,0.769615779,-1.101011315,1.060216002,2.046916693,-0.885548734,2.727506249
27031,Minnesota,Cook County,0.768882591,-0.498561837,0.457078977,1.460081529,-0.063724594,2.489538878
46105,South Dakota,Perkins County,0.768548571,-1.083072747,0.605629323,1.906228446,-0.855424354,3.269382187
16073,Idaho,Owyhee County,0.767354253,0.327252666,2.612111159,0.61123241,-0.072335879,0.358510907
30033,Montana,Garfield County,0.764531003,-1.260068382,1.668002731,1.745870816,-0.864072335,2.532922183
